date;GlobInc;GlobEff;Earray;E_Grid;PR
01/01/1990 00:00;0;0;0;-1708.1;1
01/01/1990 01:00;0;0;0;-1708.1;1
01/01/1990 02:00;0;0;0;-1708.1;1
01/01/1990 03:00;0;0;0;-1708.1;1
01/01/1990 04:00;0;0;0;-1708.1;1
01/01/1990 05:00;0;0;0;-1708.1;1
01/01/1990 06:00;0;0;0;-1708.1;1
01/01/1990 07:00;0;0;0;-1708.1;1
01/01/1990 08:00;72.915;68.417;125034;120708;0.8809
01/01/1990 09:00;94.757;88.912;163910;158951;0.8926
01/01/1990 10:00;173.39;162.69;304316;297118;0.9119
01/01/1990 11:00;258.46;243.12;455062;444696;0.9156
01/01/1990 12:00;232.38;218.05;406770;397433;0.9101
01/01/1990 13:00;334.25;312.58;581449;568077;0.9044
01/01/1990 14:00;145.11;133.47;246081;239846;0.8796
01/01/1990 15:00;18.277;17.14;27930;24354;0.7091
01/01/1990 16:00;0;0;0;-1708.1;1
01/01/1990 17:00;0;0;0;-1708.1;1
01/01/1990 18:00;0;0;0;-1708.1;1
01/01/1990 19:00;0;0;0;-1708.1;1
01/01/1990 20:00;0;0;0;-1708.1;1
01/01/1990 21:00;0;0;0;-1708.1;1
01/01/1990 22:00;0;0;0;-1708.1;1
01/01/1990 23:00;0;0;0;-1708.1;1
02/01/1990 00:00;0;0;0;-1708.1;1
02/01/1990 01:00;0;0;0;-1708.1;1
02/01/1990 02:00;0;0;0;-1708.1;1
02/01/1990 03:00;0;0;0;-1708.1;1
02/01/1990 04:00;0;0;0;-1708.1;1
02/01/1990 05:00;0;0;0;-1708.1;1
02/01/1990 06:00;0;0;0;-1708.1;1
02/01/1990 07:00;0;0;0;-1708.1;1
02/01/1990 08:00;30.193;28.33;49518;46153;0.8134
02/01/1990 09:00;90.676;85.082;158083;153242;0.8993
02/01/1990 10:00;148.29;139.14;262062;255680;0.9175
02/01/1990 11:00;170.64;160.11;301912;294806;0.9194
02/01/1990 12:00;77.01;72.26;132680;128206;0.8859
02/01/1990 13:00;94.529;88.698;164286;159342;0.897
02/01/1990 14:00;46.896;44.003;78770;75369;0.8552
02/01/1990 15:00;32.319;30.239;52832;49474;0.8146
02/01/1990 16:00;0;0;0;-1708.1;1
02/01/1990 17:00;0;0;0;-1708.1;1
02/01/1990 18:00;0;0;0;-1708.1;1
02/01/1990 19:00;0;0;0;-1708.1;1
02/01/1990 20:00;0;0;0;-1708.1;1
02/01/1990 21:00;0;0;0;-1708.1;1
02/01/1990 22:00;0;0;0;-1708.1;1
02/01/1990 23:00;0;0;0;-1708.1;1
03/01/1990 00:00;0;0;0;-1708.1;1
03/01/1990 01:00;0;0;0;-1708.1;1
03/01/1990 02:00;0;0;0;-1708.1;1
03/01/1990 03:00;0;0;0;-1708.1;1
03/01/1990 04:00;0;0;0;-1708.1;1
03/01/1990 05:00;0;0;0;-1708.1;1
03/01/1990 06:00;0;0;0;-1708.1;1
03/01/1990 07:00;0;0;0;-1708.1;1
03/01/1990 08:00;89.766;69.37;127767;123411;0.7316
03/01/1990 09:00;196.11;169.47;319109;311655;0.8457
03/01/1990 10:00;313.39;290.34;544831;532417;0.904
03/01/1990 11:00;352.72;333.05;620813;606473;0.915
03/01/1990 12:00;352.5;333.26;619039;604714;0.9129
03/01/1990 13:00;179.18;168.13;311557;304158;0.9033
03/01/1990 14:00;79.48;74.577;135013;130430;0.8733
03/01/1990 15:00;7.8025;7.3208;10563;6914.7;0.4716
03/01/1990 16:00;0;0;0;-1708.1;1
03/01/1990 17:00;0;0;0;-1708.1;1
03/01/1990 18:00;0;0;0;-1708.1;1
03/01/1990 19:00;0;0;0;-1708.1;1
03/01/1990 20:00;0;0;0;-1708.1;1
03/01/1990 21:00;0;0;0;-1708.1;1
03/01/1990 22:00;0;0;0;-1708.1;1
03/01/1990 23:00;0;0;0;-1708.1;1
04/01/1990 00:00;0;0;0;-1708.1;1
04/01/1990 01:00;0;0;0;-1708.1;1
04/01/1990 02:00;0;0;0;-1708.1;1
04/01/1990 03:00;0;0;0;-1708.1;1
04/01/1990 04:00;0;0;0;-1708.1;1
04/01/1990 05:00;0;0;0;-1708.1;1
04/01/1990 06:00;0;0;0;-1708.1;1
04/01/1990 07:00;0;0;0;-1708.1;1
04/01/1990 08:00;90.118;66.75;125383;121134;0.7153
04/01/1990 09:00;212.65;181.73;350193;342225;0.8564
04/01/1990 10:00;313.86;290.5;558197;545625;0.9251
04/01/1990 11:00;363.36;343.29;655909;640861;0.9385
04/01/1990 12:00;376.61;356.92;679876;664173;0.9385
04/01/1990 13:00;327.85;306.85;585223;571947;0.9283
04/01/1990 14:00;228.68;206.42;394068;385144;0.8962
04/01/1990 15:00;99.293;66.812;123759;119506;0.6405
04/01/1990 16:00;0;0;0;-1708.1;1
04/01/1990 17:00;0;0;0;-1708.1;1
04/01/1990 18:00;0;0;0;-1708.1;1
04/01/1990 19:00;0;0;0;-1708.1;1
04/01/1990 20:00;0;0;0;-1708.1;1
04/01/1990 21:00;0;0;0;-1708.1;1
04/01/1990 22:00;0;0;0;-1708.1;1
04/01/1990 23:00;0;0;0;-1708.1;1
05/01/1990 00:00;0;0;0;-1708.1;1
05/01/1990 01:00;0;0;0;-1708.1;1
05/01/1990 02:00;0;0;0;-1708.1;1
05/01/1990 03:00;0;0;0;-1708.1;1
05/01/1990 04:00;0;0;0;-1708.1;1
05/01/1990 05:00;0;0;0;-1708.1;1
05/01/1990 06:00;0;0;0;-1708.1;1
05/01/1990 07:00;0;0;0;-1708.1;1
05/01/1990 08:00;67.236;63.088;118107;114000;0.9023
05/01/1990 09:00;110.76;103.93;197927;192588;0.9252
05/01/1990 10:00;123.46;115.84;220733;215051;0.9269
05/01/1990 11:00;85.049;79.803;149914;145229;0.9087
05/01/1990 12:00;85.123;79.872;150009;145322;0.9085
05/01/1990 13:00;81.345;76.327;143056;138460;0.9058
05/01/1990 14:00;49.817;46.744;85535;82054;0.8765
05/01/1990 15:00;32.647;30.632;54576;51280;0.8358
05/01/1990 16:00;0;0;0;-1708.1;1
05/01/1990 17:00;0;0;0;-1708.1;1
05/01/1990 18:00;0;0;0;-1708.1;1
05/01/1990 19:00;0;0;0;-1708.1;1
05/01/1990 20:00;0;0;0;-1708.1;1
05/01/1990 21:00;0;0;0;-1708.1;1
05/01/1990 22:00;0;0;0;-1708.1;1
05/01/1990 23:00;0;0;0;-1708.1;1
06/01/1990 00:00;0;0;0;-1708.1;1
06/01/1990 01:00;0;0;0;-1708.1;1
06/01/1990 02:00;0;0;0;-1708.1;1
06/01/1990 03:00;0;0;0;-1708.1;1
06/01/1990 04:00;0;0;0;-1708.1;1
06/01/1990 05:00;0;0;0;-1708.1;1
06/01/1990 06:00;0;0;0;-1708.1;1
06/01/1990 07:00;0;0;0;-1708.1;1
06/01/1990 08:00;80.084;66.728;126387;122135;0.8116
