Date;NORD;EST;SUD;TOTAL;Total PV Production (kW)
01/01/1990 00:00;-1505,2;-1232,5;-2725,6;-5463,3;-5.4633
01/01/1990 01:00;-1505,2;-1232,5;-2725,6;-5463,3;-5.4633
01/01/1990 02:00;-1505,2;-1232,5;-2725,6;-5463,3;-5.4633
01/01/1990 03:00;-1505,2;-1232,5;-2725,6;-5463,3;-5.4633
01/01/1990 04:00;-1505,2;-1232,5;-2725,6;-5463,3;-5.4633
01/01/1990 05:00;-1505,2;-1232,5;-2725,6;-5463,3;-5.4633
01/01/1990 06:00;-1505,2;-1232,5;-2725,6;-5463,3;-5.4633
01/01/1990 07:00;-1505,2;-1232,5;-2725,6;-5463,3;-5.4633
01/01/1990 08:00;103383;87720;203634;394737;394.737
01/01/1990 09:00;138567;115538;258796;512901;512.901
01/01/1990 10:00;256510;215875;487258;959643;959.643
01/01/1990 11:00;353519;322355;765541;1441415;1441.415
01/01/1990 12:00;340155;288736;648552;1277443;1277.443
01/01/1990 13:00;437435;411316;929757;1778508;1778.508
01/01/1990 14:00;186521;173932;376488;736941;736.941
01/01/1990 15:00;21707;17778;38934;78419;78.419
01/01/1990 16:00;-1505,2;-1232,5;-2725,6;-5463,3;-5.4633
01/01/1990 17:00;-1505,2;-1232,5;-2725,6;-5463,3;-5.4633
01/01/1990 18:00;-1505,2;-1232,5;-2725,6;-5463,3;-5.4633
01/01/1990 19:00;-1505,2;-1232,5;-2725,6;-5463,3;-5.4633
01/01/1990 20:00;-1505,2;-1232,5;-2725,6;-5463,3;-5.4633
01/01/1990 21:00;-1505,2;-1232,5;-2725,6;-5463,3;-5.4633
01/01/1990 22:00;-1505,2;-1232,5;-2725,6;-5463,3;-5.4633
01/01/1990 23:00;-1505,2;-1232,5;-2725,6;-5463,3;-5.4633
02/01/1990 00:00;-1505,2;-1232,5;-2725,6;-5463,3;-5.4633
02/01/1990 01:00;-1505,2;-1232,5;-2725,6;-5463,3;-5.4633
02/01/1990 02:00;-1505,2;-1232,5;-2725,6;-5463,3;-5.4633
02/01/1990 03:00;-1505,2;-1232,5;-2725,6;-5463,3;-5.4633
