date;GlobInc;GlobEff;Earray;E_Grid;PR
01/01/1990 00:00;0;0;0;-1937.3;1
01/01/1990 01:00;0;0;0;-1937.3;1
01/01/1990 02:00;0;0;0;-1937.3;1
01/01/1990 03:00;0;0;0;-1937.3;1
01/01/1990 04:00;0;0;0;-1937.3;1
01/01/1990 05:00;0;0;0;-1937.3;1
01/01/1990 06:00;0;0;0;-1937.3;1
01/01/1990 07:00;0;0;0;-1937.3;1
01/01/1990 08:00;70.926;66.916;138703;133855;0.8845
01/01/1990 09:00;93.714;88.415;185025;179458;0.8975
01/01/1990 10:00;169.74;160.14;339998;331887;0.9164
01/01/1990 11:00;236.49;219.66;466501;455719;0.9031
01/01/1990 12:00;225.32;212.58;450157;439709;0.9146
01/01/1990 13:00;294.53;271.22;573213;559949;0.891
01/01/1990 14:00;129.4;117.87;245824;239291;0.8667
01/01/1990 15:00;18.399;17.353;32148;28204;0.7184
01/01/1990 16:00;0;0;0;-1937.3;1
01/01/1990 17:00;0;0;0;-1937.3;1
01/01/1990 18:00;0;0;0;-1937.3;1
01/01/1990 19:00;0;0;0;-1937.3;1
01/01/1990 20:00;0;0;0;-1937.3;1
01/01/1990 21:00;0;0;0;-1937.3;1
01/01/1990 22:00;0;0;0;-1937.3;1
01/01/1990 23:00;0;0;0;-1937.3;1
02/01/1990 00:00;0;0;0;-1937.3;1
02/01/1990 01:00;0;0;0;-1937.3;1
02/01/1990 02:00;0;0;0;-1937.3;1
02/01/1990 03:00;0;0;0;-1937.3;1
02/01/1990 04:00;0;0;0;-1937.3;1
02/01/1990 05:00;0;0;0;-1937.3;1
02/01/1990 06:00;0;0;0;-1937.3;1
02/01/1990 07:00;0;0;0;-1937.3;1
02/01/1990 08:00;30.325;28.611;56824;53121;0.821
02/01/1990 09:00;89.797;84.719;178693;173256;0.9043
02/01/1990 10:00;145.95;137.7;294374;287186;0.9222
02/01/1990 11:00;167.71;158.22;338662;330626;0.924
02/01/1990 12:00;76.937;72.587;151362;146278;0.8911
02/01/1990 13:00;93.773;88.472;186040;180480;0.902
02/01/1990 14:00;46.903;44.251;89973;86107;0.8604
02/01/1990 15:00;31.511;29.673;58778;55070;0.8191
02/01/1990 16:00;0;0;0;-1937.3;1
02/01/1990 17:00;0;0;0;-1937.3;1
02/01/1990 18:00;0;0;0;-1937.3;1
02/01/1990 19:00;0;0;0;-1937.3;1
02/01/1990 20:00;0;0;0;-1937.3;1
02/01/1990 21:00;0;0;0;-1937.3;1
02/01/1990 22:00;0;0;0;-1937.3;1
02/01/1990 23:00;0;0;0;-1937.3;1
03/01/1990 00:00;0;0;0;-1937.3;1
03/01/1990 01:00;0;0;0;-1937.3;1
03/01/1990 02:00;0;0;0;-1937.3;1
03/01/1990 03:00;0;0;0;-1937.3;1
03/01/1990 04:00;0;0;0;-1937.3;1
03/01/1990 05:00;0;0;0;-1937.3;1
03/01/1990 06:00;0;0;0;-1937.3;1
03/01/1990 07:00;0;0;0;-1937.3;1
03/01/1990 08:00;70.408;42.432;86397;82614;0.5499
03/01/1990 09:00;164.46;101.26;213391;207427;0.5911
03/01/1990 10:00;269.41;222.88;474597;463656;0.8066
03/01/1990 11:00;304.06;276.72;586418;572861;0.883
03/01/1990 12:00;308.79;287.25;606564;592485;0.8993
03/01/1990 13:00;174.11;164.27;345447;337162;0.9076
03/01/1990 14:00;78.275;73.849;151731;146570;0.8776
03/01/1990 15:00;8.0871;7.6297;12603;8576.9;0.4971
03/01/1990 16:00;0;0;0;-1937.3;1
03/01/1990 17:00;0;0;0;-1937.3;1
03/01/1990 18:00;0;0;0;-1937.3;1
03/01/1990 19:00;0;0;0;-1937.3;1
03/01/1990 20:00;0;0;0;-1937.3;1
03/01/1990 21:00;0;0;0;-1937.3;1
03/01/1990 22:00;0;0;0;-1937.3;1
03/01/1990 23:00;0;0;0;-1937.3;1
04/01/1990 00:00;0;0;0;-1937.3;1
04/01/1990 01:00;0;0;0;-1937.3;1
04/01/1990 02:00;0;0;0;-1937.3;1
04/01/1990 03:00;0;0;0;-1937.3;1
04/01/1990 04:00;0;0;0;-1937.3;1
04/01/1990 05:00;0;0;0;-1937.3;1
04/01/1990 06:00;0;0;0;-1937.3;1
04/01/1990 07:00;0;0;0;-1937.3;1
04/01/1990 08:00;67.959;35.334;72665;69121;0.4767
04/01/1990 09:00;176.06;99.754;214846;208954;0.5562
04/01/1990 10:00;268.18;218.21;475791;464981;0.8126
04/01/1990 11:00;313.36;285.24;619834;605659;0.9058
04/01/1990 12:00;324.51;300.97;652215;637215;0.9203
