date;GlobInc;GlobEff;Earray;E_Grid;PR
01/01/1990 00:00;0;0;0;-2725.6;1
01/01/1990 01:00;0;0;0;-2725.6;1
01/01/1990 02:00;0;0;0;-2725.6;1
01/01/1990 03:00;0;0;0;-2725.6;1
01/01/1990 04:00;0;0;0;-2725.6;1
01/01/1990 05:00;0;0;0;-2725.6;1
01/01/1990 06:00;0;0;0;-2725.6;1
01/01/1990 07:00;0;0;0;-2725.6;1
01/01/1990 08:00;76.152;72.286;211032;203763;0.8934
01/01/1990 09:00;95.745;90.896;267207;258914;0.9029
01/01/1990 10:00;176.56;167.6;499621;487144;0.9212
01/01/1990 11:00;276.46;263.07;783980;764409;0.9232
01/01/1990 12:00;235.67;223.66;664559;648081;0.9182
01/01/1990 13:00;349.08;322.03;952225;927744;0.8874
01/01/1990 14:00;147.21;131.74;386725;376350;0.8536
01/01/1990 15:00;18.195;17.269;44882;38987;0.7154
01/01/1990 16:00;0;0;0;-2725.6;1
01/01/1990 17:00;0;0;0;-2725.6;1
01/01/1990 18:00;0;0;0;-2725.6;1
01/01/1990 19:00;0;0;0;-2725.6;1
01/01/1990 20:00;0;0;0;-2725.6;1
01/01/1990 21:00;0;0;0;-2725.6;1
01/01/1990 22:00;0;0;0;-2725.6;1
01/01/1990 23:00;0;0;0;-2725.6;1
02/01/1990 00:00;0;0;0;-2725.6;1
02/01/1990 01:00;0;0;0;-2725.6;1
02/01/1990 02:00;0;0;0;-2725.6;1
02/01/1990 03:00;0;0;0;-2725.6;1
02/01/1990 04:00;0;0;0;-2725.6;1
02/01/1990 05:00;0;0;0;-2725.6;1
02/01/1990 06:00;0;0;0;-2725.6;1
02/01/1990 07:00;0;0;0;-2725.6;1
02/01/1990 08:00;29.794;28.29;78790;73217;0.8205
02/01/1990 09:00;91.456;86.824;257237;249156;0.9096
02/01/1990 10:00;150.15;142.53;427879;416937;0.9272
02/01/1990 11:00;172.31;163.56;491454;479232;0.9287
02/01/1990 12:00;76.666;72.79;213028;205728;0.896
02/01/1990 13:00;94.354;89.574;264435;256215;0.9067
02/01/1990 14:00;46.652;44.294;126402;120904;0.8653
02/01/1990 15:00;32.055;30.329;84463;78901;0.8219
02/01/1990 16:00;0;0;0;-2725.6;1
02/01/1990 17:00;0;0;0;-2725.6;1
02/01/1990 18:00;0;0;0;-2725.6;1
02/01/1990 19:00;0;0;0;-2725.6;1
02/01/1990 20:00;0;0;0;-2725.6;1
02/01/1990 21:00;0;0;0;-2725.6;1
02/01/1990 22:00;0;0;0;-2725.6;1
02/01/1990 23:00;0;0;0;-2725.6;1
03/01/1990 00:00;0;0;0;-2725.6;1
03/01/1990 01:00;0;0;0;-2725.6;1
03/01/1990 02:00;0;0;0;-2725.6;1
03/01/1990 03:00;0;0;0;-2725.6;1
03/01/1990 04:00;0;0;0;-2725.6;1
03/01/1990 05:00;0;0;0;-2725.6;1
03/01/1990 06:00;0;0;0;-2725.6;1
03/01/1990 07:00;0;0;0;-2725.6;1
03/01/1990 08:00;125.07;107.31;320556;311542;0.8317
03/01/1990 09:00;240.46;219.24;659581;643373;0.8934
03/01/1990 10:00;361.31;341.47;1017574;991186;0.916
03/01/1990 11:00;393.29;375.7;1111064;1081453;0.9181
03/01/1990 12:00;379.02;360.42;1063029;1034994;0.9118
03/01/1990 13:00;180.35;171.15;505310;492606;0.912
03/01/1990 14:00;79.271;75.244;217125;209636;0.883
03/01/1990 15:00;7.7949;7.4059;17075;5679.6;0.2433
03/01/1990 16:00;0;0;0;-2725.6;1
03/01/1990 17:00;0;0;0;-2725.6;1
03/01/1990 18:00;0;0;0;-2725.6;1
03/01/1990 19:00;0;0;0;-2725.6;1
03/01/1990 20:00;0;0;0;-2725.6;1
03/01/1990 21:00;0;0;0;-2725.6;1
03/01/1990 22:00;0;0;0;-2725.6;1
03/01/1990 23:00;0;0;0;-2725.6;1
04/01/1990 00:00;0;0;0;-2725.6;1
04/01/1990 01:00;0;0;0;-2725.6;1
04/01/1990 02:00;0;0;0;-2725.6;1
04/01/1990 03:00;0;0;0;-2725.6;1
04/01/1990 04:00;0;0;0;-2725.6;1
04/01/1990 05:00;0;0;0;-2725.6;1
04/01/1990 06:00;0;0;0;-2725.6;1
04/01/1990 07:00;0;0;0;-2725.6;1
04/01/1990 08:00;130.63;110.5;337449;328280;0.8391
04/01/1990 09:00;263.99;239.71;737252;719257;0.9097
04/01/1990 10:00;363.68;343.87;1049096;1021976;0.9383
04/01/1990 11:00;405.13;387.17;1173429;1142025;0.9412
04/01/1990 12:00;408.11;388.5;1173976;1142493;0.9347
