Date, Heure, H:00, H:10, H:20, H:30, H:40, H:50 
2019-08-01, 0:00, 792, 782, 772, 768, 824, 829
2019-08-01, 1:00, 789, 764, 753, 720, 741, 738
2019-08-01, 2:00, 736, 748, 756, 732, 720, 745
2019-08-01, 3:00, 785, 802, 764, 742, 742, 768
2019-08-01, 4:00, 743, 743, 739, 751, 754, 791
2019-08-01, 5:00, 770, 781, 820, 815, 797, 794
2019-08-01, 6:00, 842, 896, 900, 882, 866, 859
2019-08-01, 7:00, 912, 954, 955, 957, 992, 1023
2019-08-01, 8:00, 1006, 1058, 1022, 1034, 1055, 1027
2019-08-01, 9:00, 1071, 1070, 1062, 1078, 1116, 1105
2019-08-01, 10:00, 1151, 1128, 1107, 1098, 1113, 1101
2019-08-01, 11:00, 1100, 1093, 1107, 1115, 1126, 1110
2019-08-01, 12:00, 1143, 1120, 1172, 1128, 1127, 1162
2019-08-01, 13:00, 1109, 1154, 1100, 1143, 1119, 1084
2019-08-01, 14:00, 1098, 1082, 1113, 1105, 1123, 1123
2019-08-01, 15:00, 1095, 1111, 1100, 1098, 1112, 1122
2019-08-01, 16:00, 1160, 1124, 1134, 1108, 1152, 1118
2019-08-01, 17:00, 1108, 1121, 1076, 1057, 1038, 982
2019-08-01, 18:00, 982, 969, 930, 915, 889, 883
2019-08-01, 19:00, 854, 803, 795, 802, 804, 791
2019-08-01, 20:00, 789, 781, 759, 759, 762, 789
2019-08-01, 21:00, 773, 786, 784, 788, 780, 741
2019-08-01, 22:00, 776, 760, 750, 774, 788, 751
2019-08-01, 23:00, 777, 775, 767, 768, 766, 758
2019-08-02, 0:00, 748, 729, 737, 729, 778, 782
2019-08-02, 1:00, 761, 744, 732, 731, 737, 746
2019-08-02, 2:00, 749, 731, 734, 720, 746, 718
2019-08-02, 3:00, 769, 748, 751, 726, 728, 742
2019-08-02, 4:00, 758, 761, 768, 737, 745, 735
2019-08-02, 5:00, 789, 814, 789, 798, 790, 784
2019-08-02, 6:00, 820, 885, 866, 849, 855, 835
2019-08-02, 7:00, 891, 1004, 997, 1017, 1017, 1007
2019-08-02, 8:00, 1025, 1044, 1063, 1042, 1017, 1032
2019-08-02, 9:00, 1059, 1051, 1063, 1095, 1052, 1124
2019-08-02, 10:00, 1125, 1103, 1094, 1063, 1073, 1078
2019-08-02, 11:00, 1124, 1114, 1108, 1100, 1078, 1083
2019-08-02, 12:00, 1091, 1089, 1120, 1098, 1085, 1106
2019-08-02, 13:00, 1098, 1115, 1112, 1111, 1118, 1134
2019-08-02, 14:00, 1082, 1086, 1093, 1115, 1132, 1155
2019-08-02, 15:00, 1128, 1146, 1127, 1067, 1074, 1091
2019-08-02, 16:00, 1082, 1063, 1072, 1065, 1098, 1064
2019-08-02, 17:00, 1054, 1042, 1042, 1008, 998, 992
2019-08-02, 18:00, 940, 948, 938, 926, 924, 903
2019-08-02, 19:00, 893, 884, 855, 847, 856, 848
2019-08-02, 20:00, 823, 821, 829, 803, 805, 808
2019-08-02, 21:00, 822, 815, 805, 783, 792, 804
2019-08-02, 22:00, 822, 780, 773, 761, 800, 808
2019-08-02, 23:00, 797, 827, 793, 780, 787, 800
2019-08-03, 0:00, 772, 749, 743, 760, 766, 780
2019-08-03, 1:00, 752, 750, 744, 740, 735, 753
2019-08-03, 2:00, 770, 744, 701, 679, 678, 702
2019-08-03, 3:00, 727, 695, 695, 674, 714, 730
2019-08-03, 4:00, 726, 722, 753, 723, 723, 746
2019-08-03, 5:00, 758, 740, 739, 777, 732, 731
2019-08-03, 6:00, 801, 888, 847, 835, 817, 813
2019-08-03, 7:00, 842, 857, 860, 895, 892, 872
2019-08-03, 8:00, 910, 931, 891, 902, 914, 923
2019-08-03, 9:00, 941, 928, 934, 918, 921, 915
2019-08-03, 10:00, 928, 924, 919, 949, 923, 913
2019-08-03, 11:00, 928, 995, 960, 969, 950, 958
2019-08-03, 12:00, 952, 949, 979, 933, 942, 947
2019-08-03, 13:00, 955, 984, 1002, 950, 957, 932
2019-08-03, 14:00, 959, 939, 917, 941, 928, 920
2019-08-03, 15:00, 943, 927, 922, 921, 914, 911
2019-08-03, 16:00, 944, 954, 947, 939, 958, 963
2019-08-03, 17:00, 927, 951, 925, 880, 870, 878
2019-08-03, 18:00, 907, 889, 898, 875, 871, 895
2019-08-03, 19:00, 831, 787, 785, 777, 765, 769
2019-08-03, 20:00, 770, 765, 754, 766, 766, 772
2019-08-03, 21:00, 779, 745, 748, 745, 751, 735
2019-08-03, 22:00, 745, 743, 783, 768, 776, 780
2019-08-03, 23:00, 754, 749, 744, 741, 715, 709
2019-08-04, 0:00, 689, 697, 707, 683, 702, 699
2019-08-04, 1:00, 690, 661, 658, 672, 680, 663
2019-08-04, 2:00, 661, 665, 679, 673, 651, 662
2019-08-04, 3:00, 674, 699, 685, 689, 684, 701
2019-08-04, 4:00, 670, 662, 675, 675, 666, 692
2019-08-04, 5:00, 708, 686, 696, 726, 684, 674
2019-08-04, 6:00, 787, 800, 787, 762, 767, 743
2019-08-04, 7:00, 778, 800, 796, 788, 808, 805
2019-08-04, 8:00, 801, 833, 822, 839, 816, 820
2019-08-04, 9:00, 814, 795, 827, 820, 852, 828
2019-08-04, 10:00, 833, 843, 840, 850, 848, 816
2019-08-04, 11:00, 842, 832, 858, 852, 864, 861
2019-08-04, 12:00, 850, 858, 869, 871, 861, 875
2019-08-04, 13:00, 868, 859, 872, 874, 869, 853
2019-08-04, 14:00, 881, 864, 848, 864, 873, 878
2019-08-04, 15:00, 883, 885, 883, 863, 865, 843
2019-08-04, 16:00, 903, 912, 903, 869, 868, 883
2019-08-04, 17:00, 890, 876, 890, 855, 786, 784
