Date, Heure, H:00, H:10, H:20, H:30, H:40, H:50 
2018-04-01, 0:00, 956, 857, 780, 751, 763, 764
2018-04-01, 1:00, 753, 745, 753, 758, 763, 762
2018-04-01, 2:00, 815, 805, 813, 797, 806, 815
2018-04-01, 3:00, 895, 937, 934, 937, 930, 930
2018-04-01, 4:00, 898, 926, 920, 921, 900, 927
2018-04-01, 5:00, 956, 945, 925, 942, 939, 911
2018-04-01, 6:00, 944, 985, 993, 974, 986, 998
2018-04-01, 7:00, 1054, 1098, 1184, 1311, 1360, 1427
2018-04-01, 8:00, 1411, 1472, 1401, 1405, 1407, 1425
2018-04-01, 9:00, 1392, 1404, 1416, 1379, 1406, 1416
2018-04-01, 10:00, 1382, 1390, 1391, 1392, 1399, 1380
2018-04-01, 11:00, 1368, 1398, 1435, 1447, 1436, 1401
2018-04-01, 12:00, 1446, 1432, 1416, 1417, 1397, 1367
2018-04-01, 13:00, 1328, 1327, 1300, 1121, 1101, 1127
2018-04-01, 14:00, 1141, 1163, 1151, 1131, 1157, 1138
2018-04-01, 15:00, 1143, 1202, 1198, 1203, 1200, 1221
2018-04-01, 16:00, 1300, 1429, 1471, 1449, 1464, 1503
2018-04-01, 17:00, 1655, 1845, 1830, 1844, 1914, 2028
2018-04-01, 18:00, 2233, 2309, 2347, 2388, 2350, 2388
2018-04-01, 19:00, 2510, 2886, 2873, 2946, 2946, 2989
2018-04-01, 20:00, 3051, 3169, 3168, 3159, 3118, 2992
2018-04-01, 21:00, 2946, 3024, 3010, 3028, 3006, 3150
2018-04-01, 22:00, 3121, 2958, 2890, 2829, 2781, 2802
2018-04-01, 23:00, 2821, 2743, 2597, 2318, 2264, 2221
2018-04-02, 0:00, 2190, 2119, 2024, 2025, 1950, 1961
2018-04-02, 1:00, 1645, 1255, 1244, 1266, 1262, 1200
2018-04-02, 2:00, 1225, 1199, 1190, 1164, 1142, 1092
2018-04-02, 3:00, 1071, 1077, 1077, 1087, 1096, 1090
2018-04-02, 4:00, 1036, 1020, 1021, 999, 1011, 1033
2018-04-02, 5:00, 1061, 1187, 1292, 1372, 1276, 1197
2018-04-02, 6:00, 1290, 1323, 1375, 1443, 1515, 1490
2018-04-02, 7:00, 1536, 1565, 1576, 1611, 1588, 1602
2018-04-02, 8:00, 1620, 1634, 1638, 1557, 1346, 1379
2018-04-02, 9:00, 1341, 1314, 1306, 1295, 1292, 1264
2018-04-02, 10:00, 1327, 1298, 1343, 1300, 1323, 1331
2018-04-02, 11:00, 1307, 1310, 1322, 1326, 1304, 1350
2018-04-02, 12:00, 1333, 1315, 1173, 1142, 1111, 1119
2018-04-02, 13:00, 1136, 1074, 1103, 1044, 1009, 1008
2018-04-02, 14:00, 1006, 979, 986, 995, 953, 961
2018-04-02, 15:00, 981, 967, 984, 965, 934, 927
2018-04-02, 16:00, 902, 881, 869, 870, 870, 900
2018-04-02, 17:00, 896, 893, 871, 850, 864, 869
2018-04-02, 18:00, 838, 842, 840, 846, 831, 825
2018-04-02, 19:00, 813, 795, 776, 788, 798, 785
2018-04-02, 20:00, 767, 751, 733, 752, 777, 748
2018-04-02, 21:00, 758, 753, 740, 760, 750, 759
2018-04-02, 22:00, 723, 734, 745, 769, 764, 730
2018-04-02, 23:00, 732, 722, 739, 725, 728, 715
2018-04-03, 0:00, 763, 748, 714, 727, 724, 740
2018-04-03, 1:00, 736, 738, 739, 750, 742, 741
2018-04-03, 2:00, 755, 780, 768, 752, 736, 733
2018-04-03, 3:00, 762, 756, 765, 735, 753, 741
2018-04-03, 4:00, 738, 754, 794, 784, 763, 790
2018-04-03, 5:00, 842, 936, 910, 1039, 1107, 1149
2018-04-03, 6:00, 1233, 1335, 1345, 1343, 1379, 1387
2018-04-03, 7:00, 1377, 1395, 1435, 1494, 1571, 1578
2018-04-03, 8:00, 1573, 1658, 1682, 1718, 1752, 1780
2018-04-03, 9:00, 1802, 1824, 1914, 1915, 1915, 1889
2018-04-03, 10:00, 1853, 1766, 1779, 1758, 1779, 1808
2018-04-03, 11:00, 1801, 1764, 1735, 1747, 1698, 1669
2018-04-03, 12:00, 1520, 1500, 1508, 1483, 1474, 1419
2018-04-03, 13:00, 1356, 1319, 1295, 1302, 1258, 1380
2018-04-03, 14:00, 1550, 1526, 1488, 1476, 1499, 1475
2018-04-03, 15:00, 1468, 1524, 1491, 1421, 1188, 1182
2018-04-03, 16:00, 1184, 1242, 1247, 1164, 1205, 1199
2018-04-03, 17:00, 1185, 1164, 1162, 1126, 1152, 1138
2018-04-03, 18:00, 1086, 1031, 1044, 1019, 1014, 977
2018-04-03, 19:00, 984, 953, 970, 966, 936, 962
2018-04-03, 20:00, 955, 979, 947, 923, 910, 892
2018-04-03, 21:00, 889, 873, 885, 874, 884, 835
2018-04-03, 22:00, 814, 816, 811, 820, 835, 830
2018-04-03, 23:00, 843, 829, 816, 788, 777, 779
2018-04-04, 0:00, 787, 745, 731, 719, 740, 773
2018-04-04, 1:00, 726, 711, 735, 755, 733, 728
2018-04-04, 2:00, 753, 776, 788, 783, 753, 731
2018-04-04, 3:00, 736, 746, 739, 752, 750, 748
2018-04-04, 4:00, 711, 717, 742, 749, 767, 795
2018-04-04, 5:00, 850, 932, 958, 971, 984, 955
2018-04-04, 6:00, 971, 1047, 1032, 1007, 1040, 1013
2018-04-04, 7:00, 1077, 1111, 1139, 1220, 1194, 1182
2018-04-04, 8:00, 1254, 1321, 1338, 1326, 1356, 1368
2018-04-04, 9:00, 1333, 1341, 1347, 1376, 1461, 1439
2018-04-04, 10:00, 1403, 1421, 1411, 1385, 1402, 1422
2018-04-04, 11:00, 1446, 1434, 1476, 1482, 1570, 1584
2018-04-04, 12:00, 1559, 1497, 1484, 1519, 1500, 1470
2018-04-04, 13:00, 1446, 1454, 1433, 1442, 1437, 1440
2018-04-04, 14:00, 1431, 1482, 1798, 1470, 1429, 1704
2018-04-04, 15:00, 2796, 2038, 1399, 1382, 1326, 1322
2018-04-04, 16:00, 1324, 1281, 1291, 1256, 1301, 1327
2018-04-04, 17:00, 1308, 1265, 1278, 1231, 1228, 1224
2018-04-04, 18:00, 1153, 1151, 1141, 1122, 1140, 1087
2018-04-04, 19:00, 1072, 1114, 1094, 1050, 1033, 1032
2018-04-04, 20:00, 1000, 1001, 985, 962, 1000, 1029
2018-04-04, 21:00, 1031, 1023, 1020, 992, 980, 1005
2018-04-04, 22:00, 997, 974, 1016, 1020, 979, 967
2018-04-04, 23:00, 893, 849, 860, 848, 877, 850
