Date, Heure, H:00, H:10, H:20, H:30, H:40, H:50 
2018-12-01, 0:00, 1552, 1549, 1560, 1553, 1554, 1562
2018-12-01, 1:00, 1549, 1586, 1569, 1595, 1595, 1579
2018-12-01, 2:00, 1553, 1554, 1555, 1554, 1562, 1539
2018-12-01, 3:00, 1562, 1548, 1577, 1538, 1570, 1584
2018-12-01, 4:00, 1572, 1566, 1560, 1583, 1572, 1587
2018-12-01, 5:00, 1593, 1625, 1584, 1604, 1578, 1580
2018-12-01, 6:00, 1667, 1697, 1734, 1678, 1713, 1740
2018-12-01, 7:00, 1743, 1730, 1770, 1800, 1787, 1841
2018-12-01, 8:00, 1797, 1853, 1822, 1852, 1828, 1870
2018-12-01, 9:00, 1910, 1964, 2016, 1998, 2100, 2024
2018-12-01, 10:00, 2078, 2053, 2089, 2100, 2079, 2088
2018-12-01, 11:00, 2053, 2140, 2073, 2112, 2071, 2109
2018-12-01, 12:00, 2084, 2124, 2113, 2042, 2095, 2060
2018-12-01, 13:00, 2089, 1989, 2024, 1975, 1954, 1411
2018-12-01, 14:00, 1378, 1217, 1154, 1130, 1092, 1122
2018-12-01, 15:00, 1080, 1118, 1072, 1101, 1088, 1102
2018-12-01, 16:00, 1182, 1157, 1170, 1146, 1149, 1155
2018-12-01, 17:00, 1234, 1326, 1372, 1492, 1551, 1518
2018-12-01, 18:00, 1545, 1662, 1720, 1797, 1764, 1769
2018-12-01, 19:00, 1566, 1501, 1443, 1457, 1461, 1437
2018-12-01, 20:00, 1427, 1397, 1412, 1383, 1394, 1393
2018-12-01, 21:00, 1372, 1368, 1370, 1432, 1440, 1508
2018-12-01, 22:00, 1518, 1549, 1504, 1482, 1475, 1477
2018-12-01, 23:00, 1464, 1472, 1473, 1453, 1478, 1490
2018-12-02, 0:00, 1477, 1482, 1449, 1468, 1502, 1502
2018-12-02, 1:00, 1460, 1433, 1421, 1431, 1435, 1431
2018-12-02, 2:00, 1427, 1413, 1421, 1423, 1415, 1440
2018-12-02, 3:00, 1452, 1435, 1445, 1416, 1421, 1455
2018-12-02, 4:00, 1416, 1407, 1421, 1431, 1435, 1440
2018-12-02, 5:00, 1431, 1436, 1437, 1447, 1440, 1445
2018-12-02, 6:00, 1441, 1454, 1451, 1445, 1472, 1458
2018-12-02, 7:00, 1487, 1454, 1460, 1466, 1466, 1451
2018-12-02, 8:00, 1479, 1506, 1506, 1497, 1501, 1535
2018-12-02, 9:00, 1541, 1534, 1605, 1555, 1574, 1514
2018-12-02, 10:00, 1535, 1577, 1546, 1554, 1535, 1565
2018-12-02, 11:00, 1558, 1562, 1574, 1599, 1595, 1620
2018-12-02, 12:00, 1596, 1620, 1620, 1664, 1739, 1711
2018-12-02, 13:00, 1710, 1708, 1666, 1527, 1536, 1571
2018-12-02, 14:00, 1542, 1585, 1261, 1158, 1136, 1120
2018-12-02, 15:00, 1061, 1076, 1068, 1084, 1113, 1089
2018-12-02, 16:00, 1097, 1075, 1098, 1175, 1357, 1736
2018-12-02, 17:00, 1810, 1797, 1820, 1832, 1820, 1820
2018-12-02, 18:00, 1797, 1732, 1609, 1603, 1595, 1631
2018-12-02, 19:00, 1533, 1534, 1562, 1655, 1687, 1690
2018-12-02, 20:00, 1650, 1654, 1635, 1629, 1645, 1520
2018-12-02, 21:00, 1506, 1539, 1518, 1524, 1525, 1511
2018-12-02, 22:00, 1504, 1520, 1515, 1534, 1515, 1498
2018-12-02, 23:00, 1502, 1515, 1496, 1492, 1479, 1479
2018-12-03, 0:00, 1464, 1467, 1472, 1470, 1464, 1479
2018-12-03, 1:00, 1485, 1490, 1483, 1473, 1465, 1442
2018-12-03, 2:00, 1445, 1469, 1471, 1446, 1459, 1457
2018-12-03, 3:00, 1490, 1490, 1474, 1472, 1465, 1459
2018-12-03, 4:00, 1460, 1474, 1480, 1473, 1455, 1494
2018-12-03, 5:00, 1520, 1537, 1545, 1521, 1510, 1549
2018-12-03, 6:00, 1606, 1632, 1663, 1627, 1661, 1693
2018-12-03, 7:00, 1726, 1798, 1793, 1794, 1846, 1865
2018-12-03, 8:00, 1891, 1929, 1938, 1990, 2003, 2012
2018-12-03, 9:00, 2034, 2099, 2087, 1959, 2020, 1984
2018-12-03, 10:00, 1858, 1739, 1743, 1687, 1737, 1684
2018-12-03, 11:00, 1573, 1575, 1498, 1536, 1541, 1555
2018-12-03, 12:00, 1578, 2037, 2001, 1938, 1856, 1664
2018-12-03, 13:00, 1633, 1602, 1563, 1590, 1591, 1599
2018-12-03, 14:00, 1580, 1520, 1537, 1523, 1505, 1476
2018-12-03, 15:00, 1475, 1459, 1513, 1504, 1470, 1538
2018-12-03, 16:00, 1511, 1495, 1504, 1596, 1700, 1694
2018-12-03, 17:00, 1744, 1740, 1715, 1723, 1688, 1690
2018-12-03, 18:00, 1688, 1689, 1689, 1707, 1683, 1650
2018-12-03, 19:00, 1559, 1499, 1498, 1467, 1498, 1458
2018-12-03, 20:00, 1440, 1430, 1476, 1479, 1431, 1441
2018-12-03, 21:00, 1407, 1405, 1424, 1416, 1380, 1394
2018-12-03, 22:00, 1387, 1381, 1405, 1402, 1371, 1382
2018-12-03, 23:00, 1302, 1255, 1259, 1266, 1244, 1232
2018-12-04, 0:00, 1103, 1105, 1097, 1084, 1079, 1071
2018-12-04, 1:00, 1104, 1143, 1123, 1164, 1238, 1296
2018-12-04, 2:00, 1303, 1284, 1282, 1303, 1291, 1300
2018-12-04, 3:00, 1308, 1325, 1315, 1309, 1303, 1298
2018-12-04, 4:00, 1294, 1329, 1308, 1179, 1192, 1216
2018-12-04, 5:00, 1208, 1214, 1211, 1203, 1218, 1245
2018-12-04, 6:00, 1375, 1397, 1401, 1418, 1457, 1467
2018-12-04, 7:00, 1534, 1543, 1546, 1583, 1576, 1677
2018-12-04, 8:00, 1639, 1508, 1497, 1556, 1551, 1532
2018-12-04, 9:00, 1706, 1703, 1883, 1876, 1916, 1876
2018-12-04, 10:00, 1885, 1884, 1891, 1892, 1931, 1942
2018-12-04, 11:00, 1803, 1698, 1623, 1667, 1622, 1654
2018-12-04, 12:00, 1680, 1584, 1568, 1494, 1522, 1544
2018-12-04, 13:00, 1512, 1510, 1460, 1478, 1481, 1499
2018-12-04, 14:00, 1415, 1413, 1356, 1281, 1293, 1343
2018-12-04, 15:00, 1349, 1322, 1295, 1276, 1261, 1262
2018-12-04, 16:00, 1215, 1239, 1236, 1222, 1219, 1237
2018-12-04, 17:00, 1263, 1329, 1389, 1397, 1368, 1392
2018-12-04, 18:00, 1393, 1381, 1400, 1406, 1417, 1379
2018-12-04, 19:00, 1260, 1182, 1167, 1125, 1099, 1071
2018-12-04, 20:00, 1114, 1098, 1026, 1002, 974, 975
