Date, Heure, H:00, H:10, H:20, H:30, H:40, H:50 
2018-02-01, 0:00, 1798, 1777, 1848, 1773, 1728, 1756
2018-02-01, 1:00, 1840, 1851, 1729, 1683, 1827, 1826
2018-02-01, 2:00, 1819, 1778, 1757, 1775, 1759, 1768
2018-02-01, 3:00, 1714, 1661, 1637, 1752, 1674, 1705
2018-02-01, 4:00, 1737, 1729, 1830, 1825, 1968, 1890
2018-02-01, 5:00, 1751, 1761, 1983, 2091, 2135, 1859
2018-02-01, 6:00, 1903, 2399, 2350, 2390, 2322, 2154
2018-02-01, 7:00, 2261, 2474, 2530, 2567, 2176, 2225
2018-02-01, 8:00, 2603, 2570, 2511, 2253, 2262, 2546
2018-02-01, 9:00, 2223, 2019, 2041, 1841, 1856, 2170
2018-02-01, 10:00, 2208, 2353, 2012, 1896, 2315, 2171
2018-02-01, 11:00, 1905, 1868, 1880, 1793, 1767, 1734
2018-02-01, 12:00, 1770, 1786, 1740, 1810, 1796, 1777
2018-02-01, 13:00, 1795, 1809, 1736, 1751, 1780, 1753
2018-02-01, 14:00, 1710, 1793, 1809, 1746, 1817, 1722
2018-02-01, 15:00, 1792, 1789, 1911, 1851, 1883, 1844
2018-02-01, 16:00, 2069, 2425, 2429, 2431, 2422, 2468
2018-02-01, 17:00, 2466, 2456, 2486, 2461, 2491, 2483
2018-02-01, 18:00, 2490, 2435, 2467, 2462, 2473, 2400
2018-02-01, 19:00, 2433, 2407, 2395, 2381, 2378, 2376
2018-02-01, 20:00, 2332, 2321, 2341, 2406, 2230, 2242
2018-02-01, 21:00, 2146, 2338, 2414, 2252, 2381, 2521
2018-02-01, 22:00, 2655, 2688, 2587, 2435, 2492, 2526
2018-02-01, 23:00, 2649, 2758, 2616, 2634, 2600, 2698
2018-02-02, 0:00, 2712, 2682, 3010, 2974, 3120, 3050
2018-02-02, 1:00, 3361, 3397, 3419, 3378, 3487, 3408
2018-02-02, 2:00, 3527, 3756, 3863, 3656, 3686, 3709
2018-02-02, 3:00, 3699, 3820, 3702, 3671, 3566, 3577
2018-02-02, 4:00, 3765, 3738, 3701, 3703, 3842, 3828
2018-02-02, 5:00, 3789, 3790, 3855, 3803, 3784, 3818
2018-02-02, 6:00, 3901, 4185, 4102, 4201, 4331, 4397
