Date, Heure, H:00, H:10, H:20, H:30, H:40, H:50 
2018-01-01, 0:00, 1100, 1130, 1080, 1136, 1039, 1032
2018-01-01, 1:00, 1060, 1087, 1122, 1139, 1080, 1083
2018-01-01, 2:00, 1122, 1034, 1149, 1047, 1132, 1164
2018-01-01, 3:00, 1128, 1103, 1129, 1160, 1174, 1187
2018-01-01, 4:00, 1176, 1213, 1217, 1248, 1247, 1235
2018-01-01, 5:00, 1235, 1276, 1265, 1237, 1260, 1228
2018-01-01, 6:00, 1252, 1309, 1325, 1335, 1392, 1353
2018-01-01, 7:00, 1359, 1434, 1415, 1460, 1390, 1428
2018-01-01, 8:00, 1394, 1480, 1481, 1537, 1512, 1516
2018-01-01, 9:00, 1526, 1514, 1522, 1529, 1573, 1494
2018-01-01, 10:00, 1505, 1418, 1449, 1507, 1476, 1485
2018-01-01, 11:00, 1407, 1496, 1483, 1440, 1276, 1279
2018-01-01, 12:00, 1319, 1338, 1336, 1316, 1316, 1238
2018-01-01, 13:00, 1306, 1282, 1354, 1338, 1282, 1266
2018-01-01, 14:00, 1263, 1286, 1265, 1234, 1221, 1314
2018-01-01, 15:00, 1258, 1346, 1380, 1306, 1286, 1330
2018-01-01, 16:00, 1395, 1355, 1353, 1340, 1436, 1396
2018-01-01, 17:00, 1381, 1314, 1276, 1309, 1294, 1335
2018-01-01, 18:00, 1263, 1268, 1326, 1366, 1344, 1394
2018-01-01, 19:00, 1362, 1253, 1263, 1275, 1299, 1258
2018-01-01, 20:00, 1175, 1176, 1271, 1244, 1290, 1244
2018-01-01, 21:00, 1235, 1271, 1284, 1247, 1232, 1243
2018-01-01, 22:00, 1248, 1356, 1250, 1182, 1220, 1282
2018-01-01, 23:00, 1366, 1395, 1335, 1474, 1602, 1634
2018-01-02, 0:00, 1877, 1713, 1676, 1902, 1921, 2284
2018-01-02, 1:00, 2400, 2047, 2232, 2449, 2608, 2613
2018-01-02, 2:00, 2262, 2022, 2297, 2568, 2775, 2397
2018-01-02, 3:00, 2169, 2467, 2726, 2693, 2652, 2510
2018-01-02, 4:00, 2513, 2523, 2830, 3230, 2968, 2894
2018-01-02, 5:00, 2802, 2976, 3166, 3010, 2874, 2833
2018-01-02, 6:00, 2991, 3134, 3187, 2975, 2892, 2749
2018-01-02, 7:00, 2824, 3026, 2783, 2663, 2477, 2706
2018-01-02, 8:00, 2974, 2866, 2609, 2778, 2707, 2771
2018-01-02, 9:00, 2994, 2846, 2818, 2514, 2691, 2594
2018-01-02, 10:00, 2380, 2175, 2083, 2215, 2296, 2267
2018-01-02, 11:00, 2012, 2026, 1724, 1804, 1731, 1600
2018-01-02, 12:00, 1538, 1492, 1459, 1405, 1453, 1347
2018-01-02, 13:00, 1429, 1402, 1454, 1444, 1380, 1465
2018-01-02, 14:00, 1400, 1410, 1360, 1406, 1365, 1363
2018-01-02, 15:00, 1386, 1363, 1342, 1351, 1358, 1290
2018-01-02, 16:00, 1347, 1320, 1286, 1220, 1286, 1345
2018-01-02, 17:00, 1388, 1501, 1516, 1819, 1839, 1852
2018-01-02, 18:00, 1814, 1814, 1786, 1863, 1823, 1742
2018-01-02, 19:00, 1722, 1652, 1711, 1670, 1686, 1620
2018-01-02, 20:00, 1656, 1662, 1595, 1574, 1569, 1553
2018-01-02, 21:00, 1503, 1523, 1493, 1518, 1482, 1515
2018-01-02, 22:00, 1517, 1465, 1504, 1458, 1490, 1492
2018-01-02, 23:00, 1519, 1475, 1508, 1554, 1535, 1545
2018-01-03, 0:00, 1488, 1514, 1466, 1506, 1473, 1499
2018-01-03, 1:00, 1479, 1507, 1462, 1495, 1523, 1517
2018-01-03, 2:00, 1617, 1552, 1625, 1593, 1571, 1591
2018-01-03, 3:00, 1630, 1580, 1592, 1652, 1595, 1655
2018-01-03, 4:00, 1665, 1702, 1703, 1771, 1680, 1675
2018-01-03, 5:00, 1752, 1716, 1709, 1673, 1702, 1684
2018-01-03, 6:00, 1795, 1833, 1890, 1870, 1862, 1903
2018-01-03, 7:00, 1887, 1996, 1984, 1998, 1981, 2052
2018-01-03, 8:00, 2089, 2080, 2050, 2055, 2127, 2104
2018-01-03, 9:00, 1854, 1577, 1647, 1637, 1659, 1610
2018-01-03, 10:00, 1589, 1655, 1597, 1554, 1395, 1412
2018-01-03, 11:00, 1374, 1380, 1346, 1412, 1364, 1356
2018-01-03, 12:00, 1424, 1357, 1405, 1354, 1385, 1349
2018-01-03, 13:00, 1393, 1374, 1410, 1393, 1388, 1367
2018-01-03, 14:00, 1326, 1355, 1300, 1347, 1347, 1330
2018-01-03, 15:00, 1307, 1302, 1318, 1305, 1353, 1362
2018-01-03, 16:00, 1605, 1961, 2033, 2014, 1998, 2004
2018-01-03, 17:00, 1982, 2005, 1896, 1888, 1873, 1855
2018-01-03, 18:00, 1710, 1727, 1716, 1686, 1710, 1652
2018-01-03, 19:00, 1653, 1603, 1598, 1576, 1643, 1620
2018-01-03, 20:00, 1604, 1621, 1623, 1619, 1550, 1619
2018-01-03, 21:00, 1567, 1650, 1596, 1678, 1695, 1692
2018-01-03, 22:00, 1679, 1685, 1725, 1658, 1729, 1700
2018-01-03, 23:00, 1762, 1739, 1802, 1843, 1848, 1882
2018-01-04, 0:00, 1845, 1841, 1821, 1904, 1945, 1961
2018-01-04, 1:00, 1936, 1935, 1969, 1972, 1963, 1942
2018-01-04, 2:00, 1977, 1990, 2010, 1974, 2033, 2015
2018-01-04, 3:00, 2085, 2307, 2376, 2203, 2239, 2213
2018-01-04, 4:00, 2289, 2444, 2341, 2231, 2233, 2184
2018-01-04, 5:00, 2516, 2434, 2232, 2151, 2195, 2281
2018-01-04, 6:00, 2446, 2336, 2268, 2290, 2298, 2542
2018-01-04, 7:00, 2463, 2413, 2363, 2411, 2554, 2631
2018-01-04, 8:00, 2509, 2477, 2482, 2587, 2814, 2704
2018-01-04, 9:00, 2274, 2030, 2124, 2351, 2388, 2079
2018-01-04, 10:00, 2075, 2040, 2051, 2052, 1814, 1830
2018-01-04, 11:00, 1870, 1782, 1756, 1718, 1730, 1670
2018-01-04, 12:00, 1664, 1537, 1464, 1367, 1439, 1393
2018-01-04, 13:00, 1351, 1402, 1370, 1401, 1354, 1379
2018-01-04, 14:00, 1350, 1377, 1363, 1308, 1291, 1338
2018-01-04, 15:00, 1352, 1325, 1306, 1307, 1376, 1296
2018-01-04, 16:00, 1541, 1910, 1877, 1780, 1786, 1755
