Date, Heure, H:00, H:10, H:20, H:30, H:40, H:50 
2019-07-01, 0:00, 1355, 1315, 1319, 1321, 1297, 1266
2019-07-01, 1:00, 1306, 1288, 1277, 1251, 1308, 1269
2019-07-01, 2:00, 1290, 1218, 1231, 1241, 1219, 1251
2019-07-01, 3:00, 1257, 1262, 1220, 1226, 1233, 1273
2019-07-01, 4:00, 1232, 1233, 1250, 1229, 1238, 1298
2019-07-01, 5:00, 1263, 1251, 1245, 1199, 1229, 1200
2019-07-01, 6:00, 1202, 1218, 1215, 1220, 1199, 1219
2019-07-01, 7:00, 1325, 1316, 1362, 1409, 1447, 1434
2019-07-01, 8:00, 1475, 1523, 1532, 1528, 1835, 1839
2019-07-01, 9:00, 1912, 1956, 1917, 1941, 1928, 1927
2019-07-01, 10:00, 1944, 2014, 2029, 2040, 2025, 1992
2019-07-01, 11:00, 2025, 2028, 2035, 2007, 1991, 1929
2019-07-01, 12:00, 1957, 1782, 1832, 1678, 1784, 1837
2019-07-01, 13:00, 1760, 1674, 1699, 1719, 1685, 1702
2019-07-01, 14:00, 1731, 1718, 1659, 1701, 1705, 1725
2019-07-01, 15:00, 1725, 1792, 1817, 1837, 1798, 1856
2019-07-01, 16:00, 1792, 1945, 1861, 1838, 1794, 1782
2019-07-01, 17:00, 1788, 1799, 1734, 1709, 1747, 1753
2019-07-01, 18:00, 1732, 1792, 1692, 1720, 1694, 1756
2019-07-01, 19:00, 1709, 1702, 1658, 1631, 1580, 1586
2019-07-01, 20:00, 1549, 1505, 1477, 1515, 1506, 1540
2019-07-01, 21:00, 1511, 1517, 1497, 1515, 1490, 1502
2019-07-01, 22:00, 1491, 1473, 1451, 1369, 1293, 1313
2019-07-01, 23:00, 1345, 1352, 1278, 1303, 1376, 1388
2019-07-02, 0:00, 1420, 1592, 1249, 1204, 1194, 1177
2019-07-02, 1:00, 1236, 1154, 1131, 1165, 1124, 1103
2019-07-02, 2:00, 1135, 1088, 1143, 1109, 1109, 1088
2019-07-02, 3:00, 1147, 1132, 1163, 1142, 1175, 1241
2019-07-02, 4:00, 1203, 1228, 1250, 1200, 1164, 1193
2019-07-02, 5:00, 1186, 1223, 1222, 1174, 1171, 1191
2019-07-02, 6:00, 1196, 1192, 1227, 1194, 1186, 1195
2019-07-02, 7:00, 1262, 1358, 1356, 1303, 1353, 1389
2019-07-02, 8:00, 1379, 1401, 1381, 1382, 1382, 1404
2019-07-02, 9:00, 1460, 1439, 1416, 1440, 1423, 1487
2019-07-02, 10:00, 1529, 1499, 1461, 1517, 1519, 1546
2019-07-02, 11:00, 1538, 1523, 1534, 1537, 1540, 1542
2019-07-02, 12:00, 1576, 1580, 1561, 1513, 1564, 1542
2019-07-02, 13:00, 1562, 1566, 1547, 1549, 1594, 1587
2019-07-02, 14:00, 1599, 1620, 1665, 1584, 1585, 1613
2019-07-02, 15:00, 1612, 1683, 1785, 1676, 1702, 1745
2019-07-02, 16:00, 1701, 1711, 1770, 1806, 1889, 1848
2019-07-02, 17:00, 1968, 2363, 2466, 2477, 2580, 2684
2019-07-02, 18:00, 2670, 2742, 2755, 2836, 2869, 2953
2019-07-02, 19:00, 2975, 2975, 2999, 2997, 2968, 3038
2019-07-02, 20:00, 2997, 3111, 3122, 3222, 3291, 3107
2019-07-02, 21:00, 3066, 3040, 3031, 3054, 3073, 3188
2019-07-02, 22:00, 3140, 2954, 2842, 2781, 2718, 2735
2019-07-02, 23:00, 2854, 2803, 2743, 2516, 2447, 2313
2019-07-03, 0:00, 2109, 2100, 2034, 1985, 1932, 1843
2019-07-03, 1:00, 1746, 1685, 1676, 1653, 1629, 1649
2019-07-03, 2:00, 1576, 1557, 1572, 1538, 1527, 1519
2019-07-03, 3:00, 1506, 1480, 1459, 1499, 1486, 1556
2019-07-03, 4:00, 1481, 1482, 1470, 1471, 1477, 1452
2019-07-03, 5:00, 1467, 1352, 1358, 1353, 1343, 1339
2019-07-03, 6:00, 1387, 1459, 1428, 1452, 1445, 1512
2019-07-03, 7:00, 1525, 1567, 1588, 1547, 1321, 1327
2019-07-03, 8:00, 1305, 1344, 1462, 1383, 1359, 1374
2019-07-03, 9:00, 1337, 1386, 1417, 1384, 1435, 1440
2019-07-03, 10:00, 1493, 1492, 1534, 1581, 1550, 1518
2019-07-03, 11:00, 1528, 1521, 1589, 1581, 1622, 1589
2019-07-03, 12:00, 1605, 1655, 1629, 1604, 1542, 1602
2019-07-03, 13:00, 1694, 1593, 1682, 1695, 1717, 1712
2019-07-03, 14:00, 1667, 1672, 1723, 1705, 1652, 1695
2019-07-03, 15:00, 1704, 1719, 1868, 1762, 1739, 1787
2019-07-03, 16:00, 1866, 1906, 1945, 1982, 1933, 1922
2019-07-03, 17:00, 1915, 2029, 2404, 2170, 2244, 2290
2019-07-03, 18:00, 2318, 2309, 2304, 2358, 2638, 2889
2019-07-03, 19:00, 2824, 2885, 2912, 2909, 2954, 2982
2019-07-03, 20:00, 2934, 3042, 3033, 3048, 3091, 2976
2019-07-03, 21:00, 2928, 2957, 3027, 3012, 3046, 3116
2019-07-03, 22:00, 3046, 2870, 2738, 2727, 2757, 2736
2019-07-03, 23:00, 2784, 2725, 2725, 2658, 2640, 2610
2019-07-04, 0:00, 2407, 2261, 2208, 2154, 2112, 1952
2019-07-04, 1:00, 1755, 1661, 1615, 1549, 1535, 1531
2019-07-04, 2:00, 1487, 1497, 1481, 1485, 1478, 1472
2019-07-04, 3:00, 1442, 1381, 1362, 1321, 1296, 1300
