Date, Heure, H:00, H:10, H:20, H:30, H:40, H:50 
2018-06-01, 0:00, 708, 645, 660, 693, 702, 638
2018-06-01, 1:00, 658, 681, 710, 698, 665, 654
2018-06-01, 2:00, 698, 688, 680, 654, 649, 682
2018-06-01, 3:00, 696, 696, 700, 669, 664, 696
2018-06-01, 4:00, 667, 618, 647, 686, 682, 691
2018-06-01, 5:00, 740, 729, 750, 773, 757, 711
2018-06-01, 6:00, 731, 781, 768, 754, 827, 835
2018-06-01, 7:00, 832, 868, 875, 928, 975, 981
2018-06-01, 8:00, 961, 992, 1001, 984, 979, 987
2018-06-01, 9:00, 1035, 1067, 1095, 1058, 1081, 1072
2018-06-01, 10:00, 1107, 1110, 1061, 1099, 1089, 1119
2018-06-01, 11:00, 1145, 1075, 1049, 1061, 1073, 1103
2018-06-01, 12:00, 1095, 1108, 1076, 1083, 1135, 1100
2018-06-01, 13:00, 1111, 1119, 1113, 1108, 1073, 1106
2018-06-01, 14:00, 1081, 1084, 1111, 1105, 1080, 1071
2018-06-01, 15:00, 1074, 1050, 1071, 1076, 1062, 1071
2018-06-01, 16:00, 1061, 1052, 1092, 1086, 1059, 1040
2018-06-01, 17:00, 1051, 1024, 1034, 1019, 1009, 994
2018-06-01, 18:00, 1021, 1041, 1032, 974, 998, 1011
2018-06-01, 19:00, 993, 1004, 1000, 1010, 1011, 1007
2018-06-01, 20:00, 965, 939, 922, 925, 915, 888
2018-06-01, 21:00, 894, 880, 863, 883, 876, 856
2018-06-01, 22:00, 844, 830, 841, 840, 846, 827
2018-06-01, 23:00, 810, 781, 823, 795, 807, 843
2018-06-02, 0:00, 830, 792, 792, 796, 794, 793
2018-06-02, 1:00, 794, 807, 807, 781, 780, 663
2018-06-02, 2:00, 659, 671, 682, 634, 640, 650
2018-06-02, 3:00, 676, 690, 658, 651, 655, 675
2018-06-02, 4:00, 642, 648, 627, 623, 627, 620
2018-06-02, 5:00, 671, 656, 657, 748, 848, 723
2018-06-02, 6:00, 748, 799, 808, 816, 892, 874
2018-06-02, 7:00, 910, 902, 940, 931, 973, 972
2018-06-02, 8:00, 978, 978, 976, 974, 986, 998
2018-06-02, 9:00, 978, 1014, 1038, 1042, 1041, 1053
2018-06-02, 10:00, 1044, 1042, 1062, 1044, 1078, 1087
2018-06-02, 11:00, 1073, 1072, 1074, 1058, 1072, 1048
2018-06-02, 12:00, 1078, 1105, 1125, 1088, 1088, 1127
2018-06-02, 13:00, 1148, 1122, 1145, 1116, 1130, 1106
2018-06-02, 14:00, 1054, 1066, 1084, 1074, 1030, 1070
2018-06-02, 15:00, 1047, 1055, 1044, 1076, 1043, 1101
2018-06-02, 16:00, 1046, 1040, 1046, 1060, 1020, 1091
