Date, Heure, H:00, H:10, H:20, H:30, H:40, H:50 
2018-05-01, 0:00, 672, 683, 653, 652, 649, 650
2018-05-01, 1:00, 647, 656, 657, 624, 631, 679
2018-05-01, 2:00, 689, 666, 666, 646, 633, 651
2018-05-01, 3:00, 642, 639, 645, 634, 670, 655
2018-05-01, 4:00, 618, 630, 628, 635, 616, 632
2018-05-01, 5:00, 632, 637, 653, 664, 638, 625
2018-05-01, 6:00, 660, 721, 707, 696, 709, 723
2018-05-01, 7:00, 752, 765, 783, 808, 746, 773
2018-05-01, 8:00, 746, 766, 764, 756, 780, 782
2018-05-01, 9:00, 768, 792, 794, 797, 805, 772
2018-05-01, 10:00, 824, 812, 840, 840, 810, 813
2018-05-01, 11:00, 810, 804, 788, 801, 819, 817
2018-05-01, 12:00, 839, 849, 814, 809, 814, 799
2018-05-01, 13:00, 816, 823, 801, 793, 797, 811
2018-05-01, 14:00, 789, 779, 778, 759, 777, 769
2018-05-01, 15:00, 791, 781, 767, 782, 775, 776
2018-05-01, 16:00, 771, 775, 788, 787, 759, 759
2018-05-01, 17:00, 746, 727, 771, 751, 714, 742
2018-05-01, 18:00, 733, 722, 751, 740, 735, 724
2018-05-01, 19:00, 723, 738, 755, 718, 722, 694
2018-05-01, 20:00, 686, 677, 694, 676, 687, 723
2018-05-01, 21:00, 707, 706, 703, 703, 677, 670
2018-05-01, 22:00, 670, 671, 669, 670, 669, 681
2018-05-01, 23:00, 666, 665, 664, 657, 665, 649
2018-05-02, 0:00, 638, 625, 654, 647, 651, 655
2018-05-02, 1:00, 657, 635, 637, 647, 638, 620
2018-05-02, 2:00, 665, 672, 673, 665, 648, 646
2018-05-02, 3:00, 656, 635, 647, 643, 648, 656
2018-05-02, 4:00, 641, 633, 666, 645, 659, 667
2018-05-02, 5:00, 691, 689, 699, 718, 688, 682
2018-05-02, 6:00, 727, 764, 759, 771, 827, 816
2018-05-02, 7:00, 835, 946, 981, 962, 997, 1014
2018-05-02, 8:00, 996, 1010, 1017, 1016, 1033, 1104
2018-05-02, 9:00, 1187, 1213, 1236, 1171, 1155, 1135
2018-05-02, 10:00, 1193, 1175, 1108, 1155, 1160, 1110
2018-05-02, 11:00, 1127, 1147, 1219, 1173, 1143, 1166
2018-05-02, 12:00, 1168, 1156, 1146, 1092, 1104, 1129
2018-05-02, 13:00, 1126, 1137, 1164, 1130, 1123, 1129
2018-05-02, 14:00, 1106, 1090, 1075, 1111, 1085, 1078
2018-05-02, 15:00, 1067, 1056, 1071, 1043, 1040, 1017
2018-05-02, 16:00, 1008, 957, 972, 1001, 999, 1004
2018-05-02, 17:00, 997, 1018, 968, 964, 937, 910
2018-05-02, 18:00, 890, 866, 899, 912, 863, 860
2018-05-02, 19:00, 857, 841, 868, 864, 830, 830
2018-05-02, 20:00, 780, 754, 767, 754, 747, 744
2018-05-02, 21:00, 788, 759, 759, 735, 760, 731
2018-05-02, 22:00, 711, 703, 696, 754, 731, 715
2018-05-02, 23:00, 714, 708, 713, 699, 712, 726
2018-05-03, 0:00, 683, 679, 690, 689, 684, 678
2018-05-03, 1:00, 651, 677, 697, 669, 669, 681
2018-05-03, 2:00, 692, 677, 688, 674, 700, 681
2018-05-03, 3:00, 683, 695, 684, 674, 677, 666
2018-05-03, 4:00, 655, 687, 678, 675, 683, 683
2018-05-03, 5:00, 691, 678, 728, 732, 724, 698
2018-05-03, 6:00, 708, 732, 730, 739, 793, 759
