Date, Heure, H:00, H:10, H:20, H:30, H:40, H:50 
2019-03-01, 0:00, 783, 791, 780, 795, 795, 793
2019-03-01, 1:00, 793, 772, 754, 743, 739, 746
2019-03-01, 2:00, 739, 741, 756, 741, 734, 739
2019-03-01, 3:00, 791, 792, 769, 744, 768, 762
2019-03-01, 4:00, 746, 765, 744, 763, 768, 758
2019-03-01, 5:00, 796, 891, 896, 880, 867, 875
2019-03-01, 6:00, 910, 986, 993, 990, 1005, 1008
2019-03-01, 7:00, 1077, 1125, 1095, 1113, 1122, 1108
2019-03-01, 8:00, 1143, 1162, 1160, 1168, 1206, 1266
2019-03-01, 9:00, 1273, 1308, 1287, 1299, 1306, 1317
2019-03-01, 10:00, 1292, 1321, 1317, 1320, 1304, 1279
2019-03-01, 11:00, 1272, 1250, 1272, 1260, 1284, 1277
2019-03-01, 12:00, 1278, 1294, 1284, 1276, 1296, 1294
2019-03-01, 13:00, 1259, 1230, 1233, 1259, 1264, 1239
2019-03-01, 14:00, 1282, 1268, 1311, 1277, 1263, 1261
2019-03-01, 15:00, 1206, 1239, 1194, 1218, 1212, 1165
2019-03-01, 16:00, 1166, 1107, 1105, 1105, 1110, 1123
2019-03-01, 17:00, 1102, 1085, 1099, 1088, 1104, 1080
2019-03-01, 18:00, 1058, 1052, 1024, 1038, 1038, 1069
2019-03-01, 19:00, 973, 972, 926, 940, 943, 942
2019-03-01, 20:00, 931, 923, 973, 1013, 1024, 1031
2019-03-01, 21:00, 1008, 1015, 1050, 1004, 978, 1000
2019-03-01, 22:00, 1013, 986, 1006, 1020, 1002, 999
2019-03-01, 23:00, 983, 966, 954, 970, 969, 987
2019-03-02, 0:00, 962, 947, 955, 966, 956, 923
2019-03-02, 1:00, 937, 923, 933, 913, 933, 932
2019-03-02, 2:00, 934, 941, 927, 928, 922, 934
2019-03-02, 3:00, 964, 969, 932, 930, 954, 936
2019-03-02, 4:00, 919, 946, 932, 957, 1020, 1059
2019-03-02, 5:00, 1112, 1208, 1195, 1180, 1184, 1191
2019-03-02, 6:00, 1219, 1266, 1261, 1285, 1278, 1277
2019-03-02, 7:00, 1411, 1458, 1476, 1543, 1589, 1578
2019-03-02, 8:00, 1564, 1641, 1646, 1597, 1595, 1581
2019-03-02, 9:00, 1608, 1619, 1620, 1607, 1592, 1558
2019-03-02, 10:00, 1549, 1514, 1552, 1488, 1289, 1250
2019-03-02, 11:00, 1225, 1227, 1220, 1240, 1268, 1275
2019-03-02, 12:00, 1305, 1295, 1313, 1320, 1263, 1241
2019-03-02, 13:00, 1237, 1223, 1151, 1135, 1122, 1134
2019-03-02, 14:00, 1146, 1144, 1153, 1135, 1109, 1132
2019-03-02, 15:00, 1100, 1132, 1117, 1103, 1078, 1133
2019-03-02, 16:00, 1080, 1065, 1053, 1075, 1050, 1030
2019-03-02, 17:00, 1025, 1039, 1039, 1038, 1029, 1027
2019-03-02, 18:00, 1025, 1015, 1002, 1044, 1050, 1005
2019-03-02, 19:00, 962, 944, 930, 916, 919, 925
2019-03-02, 20:00, 881, 845, 848, 839, 865, 844
2019-03-02, 21:00, 853, 840, 845, 846, 877, 848
2019-03-02, 22:00, 877, 855, 863, 890, 902, 952
2019-03-02, 23:00, 1043, 1046, 1029, 1003, 995, 990
2019-03-03, 0:00, 1021, 993, 1018, 1106, 1108, 1151
2019-03-03, 1:00, 1129, 1152, 1152, 1301, 1463, 1554
2019-03-03, 2:00, 1531, 1583, 1614, 1681, 1728, 1691
2019-03-03, 3:00, 1830, 1971, 1971, 1951, 2001, 2002
2019-03-03, 4:00, 2020, 2184, 2160, 2190, 2151, 2139
2019-03-03, 5:00, 2167, 2204, 2229, 2242, 2355, 2256
2019-03-03, 6:00, 2263, 2227, 2244, 2227, 2237, 2254
2019-03-03, 7:00, 2271, 2279, 2254, 2253, 2254, 2264
2019-03-03, 8:00, 2252, 2244, 2246, 2236, 2226, 2239
2019-03-03, 9:00, 2226, 2229, 2250, 2330, 2264, 2281
