Date, Heure, H:00, H:10, H:20, H:30, H:40, H:50 
2018-11-01, 0:00, 788, 769, 766, 791, 800, 761
2018-11-01, 1:00, 723, 730, 728, 723, 709, 719
2018-11-01, 2:00, 710, 714, 714, 730, 726, 734
2018-11-01, 3:00, 1121, 1368, 1342, 1322, 1326, 1309
2018-11-01, 4:00, 1279, 1318, 1321, 1303, 1330, 1326
2018-11-01, 5:00, 1316, 1332, 1348, 1320, 1312, 1334
2018-11-01, 6:00, 1378, 1369, 1371, 1395, 1386, 1368
2018-11-01, 7:00, 1441, 1492, 1488, 1518, 1483, 1147
2018-11-01, 8:00, 983, 909, 908, 938, 932, 934
2018-11-01, 9:00, 895, 919, 960, 999, 978, 1004
2018-11-01, 10:00, 1019, 998, 981, 995, 1012, 1028
2018-11-01, 11:00, 974, 968, 990, 1002, 1014, 1010
2018-11-01, 12:00, 1017, 1006, 1020, 1015, 1037, 1028
2018-11-01, 13:00, 1007, 1013, 1034, 988, 973, 991
2018-11-01, 14:00, 965, 954, 977, 957, 965, 954
2018-11-01, 15:00, 935, 941, 984, 959, 926, 943
2018-11-01, 16:00, 939, 942, 951, 927, 903, 935
2018-11-01, 17:00, 952, 920, 922, 919, 923, 924
2018-11-01, 18:00, 916, 908, 884, 869, 860, 861
2018-11-01, 19:00, 819, 802, 810, 809, 795, 760
2018-11-01, 20:00, 768, 775, 778, 763, 771, 783
2018-11-01, 21:00, 765, 759, 761, 756, 740, 743
2018-11-01, 22:00, 805, 786, 769, 751, 764, 735
2018-11-01, 23:00, 742, 751, 755, 751, 764, 768
2018-11-02, 0:00, 741, 743, 745, 738, 751, 722
2018-11-02, 1:00, 759, 853, 931, 978, 964, 1038
2018-11-02, 2:00, 1061, 1082, 1082, 1143, 1127, 1132
2018-11-02, 3:00, 1151, 1156, 1143, 1109, 1175, 1159
2018-11-02, 4:00, 1177, 1251, 1232, 1246, 1248, 1261
2018-11-02, 5:00, 1288, 1308, 1291, 1292, 1306, 1321
2018-11-02, 6:00, 1361, 1364, 1348, 1329, 1350, 1359
2018-11-02, 7:00, 1310, 1315, 1296, 1326, 1352, 1351
2018-11-02, 8:00, 1367, 1378, 1380, 1416, 1469, 1497
2018-11-02, 9:00, 1503, 1554, 1509, 1542, 1548, 1564
2018-11-02, 10:00, 1572, 1580, 1550, 1543, 1561, 1560
2018-11-02, 11:00, 1588, 1610, 1590, 1610, 1615, 1595
2018-11-02, 12:00, 1596, 1590, 1564, 1514, 1450, 1425
2018-11-02, 13:00, 1407, 1379, 1378, 1346, 1347, 1257
2018-11-02, 14:00, 1167, 1153, 1129, 1133, 1141, 1133
2018-11-02, 15:00, 1113, 1121, 1114, 1140, 1131, 1138
2018-11-02, 16:00, 1122, 1086, 1088, 1110, 1071, 1040
2018-11-02, 17:00, 1074, 1049, 1080, 1078, 1072, 1061
2018-11-02, 18:00, 1078, 1083, 1042, 1016, 1034, 1044
2018-11-02, 19:00, 942, 901, 872, 916, 911, 904
2018-11-02, 20:00, 863, 888, 869, 856, 849, 924
2018-11-02, 21:00, 945, 892, 887, 876, 838, 803
2018-11-02, 22:00, 792, 789, 775, 771, 773, 775
2018-11-02, 23:00, 779, 738, 756, 757, 785, 810
2018-11-03, 0:00, 787, 749, 753, 753, 792, 756
2018-11-03, 1:00, 764, 768, 766, 776, 763, 833
2018-11-03, 2:00, 803, 807, 774, 784, 785, 795
2018-11-03, 3:00, 808, 806, 814, 776, 820, 798
2018-11-03, 4:00, 838, 794, 815, 809, 816, 796
2018-11-03, 5:00, 813, 833, 796, 812, 806, 902
2018-11-03, 6:00, 1092, 1071, 1095, 1047, 1021, 1018
2018-11-03, 7:00, 1072, 1019, 1065, 1047, 1057, 1011
2018-11-03, 8:00, 1023, 1037, 1026, 1101, 1072, 1110
2018-11-03, 9:00, 1211, 1276, 1271, 1320, 1346, 1342
2018-11-03, 10:00, 1375, 1356, 1370, 1353, 1369, 1394
2018-11-03, 11:00, 1447, 1500, 1552, 1586, 1565, 1606
2018-11-03, 12:00, 1728, 1811, 1963, 2076, 2103, 2130
2018-11-03, 13:00, 2414, 2553, 2550, 2614, 2762, 2897
2018-11-03, 14:00, 3019, 2889, 2726, 2726, 2723, 2915
2018-11-03, 15:00, 3263, 3281, 3332, 3301, 3322, 3277
2018-11-03, 16:00, 3203, 3185, 3187, 3210, 3361, 3416
2018-11-03, 17:00, 3371, 3269, 3125, 3163, 3214, 3332
2018-11-03, 18:00, 3206, 3056, 3020, 3013, 2952, 2967
2018-11-03, 19:00, 2538, 2455, 2372, 2356, 2321, 2308
2018-11-03, 20:00, 2116, 2044, 1987, 1939, 1950, 1898
2018-11-03, 21:00, 1360, 1211, 1241, 1238, 1207, 1221
2018-11-03, 22:00, 1129, 1117, 1134, 1098, 1082, 1074
2018-11-03, 23:00, 1046, 1041, 1014, 1018, 1015, 1028
2018-11-04, 0:00, 1014, 1000, 988, 988, 994, 1001
2018-11-04, 1:00, 962, 1038, 1011, 1023, 1025, 1097
2018-11-04, 2:00, 971, 882, 849, 859, 856, 865
2018-11-04, 3:00, 936, 915, 1006, 1074, 1119, 1130
2018-11-04, 4:00, 1144, 1149, 1149, 1130, 1137, 1124
2018-11-04, 5:00, 1117, 1164, 1191, 1266, 1291, 1257
2018-11-04, 6:00, 1281, 1319, 1332, 1299, 1319, 1334
2018-11-04, 7:00, 1313, 1293, 1312, 1322, 1321, 1285
2018-11-04, 8:00, 1294, 1243, 1217, 1248, 1233, 1206
2018-11-04, 9:00, 1193, 1189, 1183, 1200, 1235, 1229
2018-11-04, 10:00, 1250, 1247, 1241, 1254, 1242, 1236
2018-11-04, 11:00, 1240, 1266, 1236, 1188, 1203, 1159
2018-11-04, 12:00, 945, 957, 947, 947, 931, 924
2018-11-04, 13:00, 917, 931, 911, 917, 925, 892
2018-11-04, 14:00, 876, 906, 921, 912, 915, 879
2018-11-04, 15:00, 882, 891, 896, 882, 908, 942
2018-11-04, 16:00, 952, 918, 899, 935, 932, 918
2018-11-04, 17:00, 913, 909, 993, 1080, 1062, 1079
2018-11-04, 18:00, 1050, 1024, 1014, 994, 1004, 1000
2018-11-04, 19:00, 934, 974, 972, 953, 939, 916
2018-11-04, 20:00, 926, 818, 778, 792, 774, 778
2018-11-04, 21:00, 743, 741, 765, 747, 744, 754
2018-11-04, 22:00, 766, 786, 786, 763, 754, 746
2018-11-04, 23:00, 749, 730, 740, 746, 736, 733
2018-11-05, 0:00, 754, 734, 718, 727, 745, 739
2018-11-05, 1:00, 730, 722, 760, 744, 703, 721
2018-11-05, 2:00, 723, 721, 749, 726, 731, 736
2018-11-05, 3:00, 758, 771, 773, 737, 746, 765
2018-11-05, 4:00, 735, 759, 759, 755, 746, 802
2018-11-05, 5:00, 782, 840, 834, 796, 869, 915
2018-11-05, 6:00, 964, 979, 1008, 1017, 1024, 1028
2018-11-05, 7:00, 1095, 1139, 1200, 1214, 1263, 1323
