Date, Heure, H:00, H:10, H:20, H:30, H:40, H:50 
2018-10-01, 0:00, 683, 677, 684, 666, 625, 635
2018-10-01, 1:00, 633, 647, 646, 678, 695, 649
2018-10-01, 2:00, 642, 618, 625, 614, 630, 675
2018-10-01, 3:00, 686, 687, 657, 645, 679, 651
2018-10-01, 4:00, 660, 688, 660, 656, 666, 699
2018-10-01, 5:00, 666, 674, 727, 734, 716, 727
2018-10-01, 6:00, 837, 850, 792, 816, 794, 805
2018-10-01, 7:00, 852, 899, 942, 894, 952, 964
2018-10-01, 8:00, 960, 1004, 1030, 1057, 1024, 1019
2018-10-01, 9:00, 1081, 1146, 1143, 1138, 1139, 1133
2018-10-01, 10:00, 1203, 1161, 1144, 1128, 1137, 1152
2018-10-01, 11:00, 1154, 1210, 1190, 1182, 1189, 1230
2018-10-01, 12:00, 1215, 1177, 1178, 1216, 1208, 1218
2018-10-01, 13:00, 1187, 1171, 1184, 1180, 1196, 1172
2018-10-01, 14:00, 1158, 1152, 1138, 1191, 1177, 1220
2018-10-01, 15:00, 1162, 1148, 1141, 1145, 1144, 1157
2018-10-01, 16:00, 1115, 1138, 1173, 1181, 1148, 1481
2018-10-01, 17:00, 1531, 1528, 1477, 1567, 1610, 1615
2018-10-01, 18:00, 1601, 1610, 1594, 1626, 1598, 1591
2018-10-01, 19:00, 1534, 1428, 1362, 1346, 1339, 1319
2018-10-01, 20:00, 1270, 1295, 1309, 1287, 1263, 1227
2018-10-01, 21:00, 1233, 1214, 1219, 1211, 1210, 1182
2018-10-01, 22:00, 1182, 1191, 1202, 1178, 1175, 1172
2018-10-01, 23:00, 1173, 1159, 1155, 1169, 1175, 1169
2018-10-02, 0:00, 1154, 1151, 1154, 832, 721, 719
2018-10-02, 1:00, 739, 755, 743, 738, 732, 734
2018-10-02, 2:00, 724, 708, 698, 695, 727, 761
2018-10-02, 3:00, 751, 785, 752, 729, 755, 760
2018-10-02, 4:00, 747, 758, 727, 761, 832, 756
2018-10-02, 5:00, 752, 756, 765, 748, 753, 774
2018-10-02, 6:00, 890, 856, 831, 827, 839, 850
2018-10-02, 7:00, 894, 922, 989, 1009, 1091, 1108
2018-10-02, 8:00, 1133, 1128, 1130, 1104, 1157, 1185
2018-10-02, 9:00, 1224, 1227, 1231, 1212, 1162, 1195
2018-10-02, 10:00, 1235, 1212, 1188, 1233, 1252, 1230
2018-10-02, 11:00, 1184, 1152, 1157, 1194, 1222, 1236
2018-10-02, 12:00, 1252, 1244, 1270, 1275, 1219, 1244
2018-10-02, 13:00, 1197, 1183, 1208, 1206, 1178, 1233
2018-10-02, 14:00, 1235, 1208, 1212, 1180, 1214, 1203
2018-10-02, 15:00, 1188, 1175, 1156, 1185, 1215, 1128
2018-10-02, 16:00, 1193, 1147, 1106, 1093, 1111, 1108
2018-10-02, 17:00, 1346, 1518, 1541, 1514, 1516, 1569
2018-10-02, 18:00, 1570, 1544, 1546, 1549, 1563, 1569
2018-10-02, 19:00, 1561, 1499, 1578, 1715, 1709, 1742
2018-10-02, 20:00, 1723, 1672, 1687, 1656, 1674, 1679
2018-10-02, 21:00, 1675, 1645, 1632, 1629, 1656, 1655
2018-10-02, 22:00, 1657, 1655, 1659, 1636, 1661, 1622
