Date, Heure, H:00, H:10, H:20, H:30, H:40, H:50 
2018-09-01, 0:00, 2022, 1872, 1834, 1814, 1787, 1719
2018-09-01, 1:00, 1683, 1683, 1620, 1520, 1549, 1116
2018-09-01, 2:00, 1120, 1117, 1087, 1038, 1037, 995
2018-09-01, 3:00, 974, 996, 1000, 954, 959, 913
2018-09-01, 4:00, 887, 907, 925, 922, 924, 937
2018-09-01, 5:00, 882, 879, 904, 902, 880, 888
2018-09-01, 6:00, 917, 949, 821, 757, 749, 752
2018-09-01, 7:00, 772, 786, 804, 816, 799, 799
2018-09-01, 8:00, 805, 794, 810, 831, 825, 844
2018-09-01, 9:00, 851, 879, 868, 892, 916, 894
2018-09-01, 10:00, 895, 924, 915, 921, 909, 909
2018-09-01, 11:00, 901, 887, 897, 881, 889, 894
2018-09-01, 12:00, 888, 894, 920, 907, 888, 888
2018-09-01, 13:00, 896, 933, 915, 899, 914, 909
2018-09-01, 14:00, 936, 909, 905, 889, 908, 892
2018-09-01, 15:00, 891, 903, 924, 923, 903, 900
2018-09-01, 16:00, 909, 877, 861, 857, 908, 916
2018-09-01, 17:00, 900, 843, 845, 868, 856, 834
2018-09-01, 18:00, 908, 1012, 1013, 1006, 1016, 1026
2018-09-01, 19:00, 1013, 966, 925, 951, 957, 975
2018-09-01, 20:00, 932, 792, 757, 744, 736, 787
2018-09-01, 21:00, 786, 758, 784, 756, 758, 730
2018-09-01, 22:00, 732, 739, 737, 732, 724, 735
2018-09-01, 23:00, 731, 725, 715, 731, 698, 741
2018-09-02, 0:00, 733, 727, 685, 707, 692, 698
2018-09-02, 1:00, 690, 668, 677, 696, 686, 702
2018-09-02, 2:00, 700, 680, 689, 685, 689, 706
2018-09-02, 3:00, 744, 733, 717, 702, 694, 695
2018-09-02, 4:00, 672, 701, 693, 676, 684, 693
2018-09-02, 5:00, 689, 707, 720, 698, 692, 704
2018-09-02, 6:00, 682, 674, 673, 705, 685, 675
2018-09-02, 7:00, 687, 704, 721, 701, 717, 732
2018-09-02, 8:00, 708, 710, 732, 707, 708, 709
2018-09-02, 9:00, 712, 740, 731, 743, 754, 774
2018-09-02, 10:00, 734, 734, 780, 772, 776, 782
2018-09-02, 11:00, 776, 759, 771, 746, 792, 802
2018-09-02, 12:00, 788, 781, 793, 767, 809, 794
2018-09-02, 13:00, 783, 786, 789, 808, 810, 782
2018-09-02, 14:00, 785, 787, 802, 782, 800, 801
2018-09-02, 15:00, 785, 790, 796, 791, 838, 817
2018-09-02, 16:00, 816, 787, 785, 790, 802, 794
2018-09-02, 17:00, 804, 756, 811, 810, 797, 793
2018-09-02, 18:00, 788, 773, 740, 724, 733, 739
2018-09-02, 19:00, 719, 727, 719, 688, 681, 694
2018-09-02, 20:00, 682, 697, 690, 707, 693, 681
2018-09-02, 21:00, 702, 685, 681, 687, 680, 700
2018-09-02, 22:00, 693, 677, 669, 694, 688, 688
